City,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
La Vergne,75,US,58,36.02,-86.58,84.2,8.05
Setermoen,92,NO,87,68.86,18.35,44.6,10.29
Joshimath,48,IN,93,30.57,79.57,29.86,0.58
Brandfort,0,ZA,68,-28.7,26.46,35.6,2.24
Whitehorse,75,CA,76,60.72,-135.06,48.2,12.75
Mogadishu,68,SO,98,2.04,45.34,80.62,19.04
Isabela,80,PH,99,10.2,122.99,73.87,2.59
Dibrugarh,68,IN,92,27.48,94.9,73.33,2.48
Owando,44,CG,96,-0.49,15.91,71.89,2.71
Alyangula,0,AU,100,-13.85,136.42,74.77,13.78
Zykovo,8,RU,72,55.24,40.35,41.92,4.05
Sharjah,0,AE,36,25.36,55.39,93.2,3.36
Laguna,40,MX,5,27.52,-110.01,109.4,12.75
Mezhdurechensk,12,RU,84,53.69,88.07,41.2,2.04
Miquelon,75,PM,76,47.1,-56.38,51.8,8.05
Ous,92,RU,98,60.91,61.52,34.72,5.95
Lorengau,88,PG,100,-2.02,147.27,78.55,4.16
Baiyin,0,CN,53,36.55,104.13,50.0,6.71
Gigant,0,RU,50,46.5,41.34,53.89,10.2
Gigmoto,76,PH,100,13.78,124.39,81.97,2.59
Clinton,90,US,55,41.84,-90.19,91.4,12.75
Zhigansk,24,RU,92,66.77,123.37,41.92,6.62
Airai,76,TL,97,-8.93,125.41,67.75,1.7
Omboue,68,GA,100,-1.57,9.26,78.46,11.21
Udachnyy,76,RU,84,66.42,112.4,39.31,5.39
Tornio,0,FI,59,61.12,27.27,60.8,4.7
Moose Factory,75,CA,64,51.26,-80.61,39.2,17.22
Sao Felix do Xingu,56,BR,43,-6.64,-51.99,89.89,3.6
Yining,100,CN,99,29.04,114.56,62.35,2.48
Atar,12,MR,39,20.52,-13.05,85.48,3.94
Gopalpur,64,IN,86,25.6,86.94,80.35,5.39
Ciudad Bolivar,64,VE,75,8.12,-63.55,82.87,11.1
Caconda,0,AO,53,-13.73,15.06,60.01,7.63
Bredasdorp,80,ZA,81,-34.53,20.04,46.4,5.82
Dikson,56,RU,82,73.51,80.55,23.02,5.61
Rikitea,64,PF,100,-23.12,-134.97,76.3,10.98
Bhandaria,12,BD,96,22.49,90.06,79.9,3.6
Viedma,0,AR,68,-40.81,-62.99,45.07,5.06
Pozo Colorado,80,PY,98,-23.49,-58.8,55.15,11.54
Wajima,0,JP,96,37.4,136.9,57.22,3.04
Alfenas,0,BR,70,-21.43,-45.95,62.26,3.71
Poum,20,MK,87,41.28,20.71,59.0,3.36
Hasaki,20,JP,88,35.73,140.83,64.4,6.93
Alice Springs,0,AU,47,-23.7,133.88,33.8,4.7
Hervey Bay,0,AU,100,-25.3,152.85,58.3,6.62
Sept-Iles,90,CA,81,50.2,-66.38,50.0,5.82
Kottayam,75,IN,94,9.59,76.52,77.0,0.69
Taunggyi,88,MM,98,20.78,97.03,65.95,2.04
Inongo,44,CD,79,-1.93,18.29,79.09,1.92
Agadir,0,MA,77,30.42,-9.58,64.4,8.05
Nishihara,90,JP,77,35.74,139.53,68.0,5.82
Paamiut,92,GL,91,61.99,-49.67,37.96,39.17
Kenai,1,US,62,60.55,-151.26,57.2,8.05
Puerto Ayora,20,EC,65,-0.74,-90.35,80.6,21.92
Vanavara,92,RU,100,60.35,102.28,41.47,7.18
Sao Filipe,0,CV,94,14.9,-24.5,73.15,14.23
Deputatskiy,0,RU,72,69.3,139.9,40.12,7.07
Corner Brook,75,CA,31,48.95,-57.95,73.4,5.82
Moses Lake,1,US,40,47.13,-119.28,71.6,14.99
Duluth,90,US,87,46.77,-92.13,53.6,25.28
Nakapiripirit,20,UG,93,1.81,34.71,60.1,2.15
Kirakira,76,SB,100,-10.46,161.92,80.44,12.21
Bosaso,88,SO,88,11.28,49.18,89.17,1.7
Nampula,0,MZ,97,-15.12,39.26,59.11,2.93
Nador,0,MA,77,35.17,-2.93,66.2,1.12
Codrington,0,AU,78,-28.95,153.24,45.61,5.17
Sitka,0,US,26,37.17,-99.65,102.76,16.24
Madang,36,PG,100,-5.21,145.81,74.95,4.5
Inuvik,40,CA,51,68.36,-133.71,59.0,6.93
Oranjemund,0,ZA,98,-28.55,16.43,59.56,1.92
Butaritari,12,KI,100,3.07,172.79,84.85,10.76
Purpe,48,RU,100,64.48,76.69,41.74,6.73
Sibu,75,MY,94,2.29,111.83,75.2,4.7
Madimba,75,CM,94,4.42,9.93,77.0,4.7
Ketchikan,90,US,81,55.34,-131.65,51.8,13.87
Faanui,36,PF,100,-16.48,-151.75,80.35,9.19
Carnarvon,0,ZA,82,-30.97,22.13,30.85,4.94
Winton,0,AU,74,-22.38,143.04,41.65,8.19
Touros,0,BR,79,-5.2,-35.46,79.99,10.09
Nianzishan,0,CN,56,47.51,122.88,64.51,5.5
Pangkalanbuun,56,ID,93,-2.68,111.62,71.44,2.37
Wanaka,36,NZ,95,-44.7,169.14,14.02,3.04
Vallenar,0,CL,66,-28.58,-70.76,57.31,2.04
Xai-Xai,0,MZ,95,-25.04,33.64,72.88,6.73
Navoi,40,IT,87,46.17,11.83,75.2,3.36
Berlevag,75,NO,86,70.86,29.09,41.0,17.22
Te Anau,12,NZ,75,-45.41,167.72,21.49,3.04
Cabo San Lucas,5,MX,27,22.89,-109.91,95.0,11.41
Cayenne,20,GF,78,4.94,-52.33,82.4,8.05
Saskylakh,68,RU,89,71.97,114.09,30.04,11.77
Puerto Carreno,40,CO,55,6.19,-67.49,91.4,8.05
Sao Joao da Barra,75,BR,83,-21.64,-41.05,75.2,11.41
Tazovskiy,80,RU,95,67.47,78.7,33.37,18.14
San Juan del Sur,75,NI,74,11.25,-85.87,86.0,6.93
Tymovskoye,0,RU,86,50.85,142.66,49.75,3.49
Picos,0,BR,38,-7.08,-41.47,84.67,4.72
Monrovia,75,LR,94,6.33,-10.8,75.2,4.61
Barrow,88,AR,92,-38.31,-60.23,46.69,9.08
Palauig,8,PH,100,15.44,119.9,76.48,4.05
Ossora,20,RU,99,59.24,163.07,36.79,6.62
Tura,64,IN,99,25.52,90.21,73.69,2.48
Gamba,68,CN,82,28.28,88.52,26.71,2.59
Vestmannaeyjar,0,IS,74,63.44,-20.27,51.28,16.46
Vila Velha,75,BR,74,-3.71,-38.6,82.4,11.41
Otjiwarongo,0,NA,36,-20.46,16.65,60.8,2.24
Ensenada,0,MX,45,31.86,-116.62,75.4,3.71
Ostrovnoy,48,RU,96,68.05,39.51,35.89,15.57
Iturama,0,BR,48,-19.73,-50.2,79.63,4.38
Brookhaven,90,US,94,40.78,-72.92,75.2,3.36
Chokurdakh,76,RU,100,70.62,147.9,23.74,9.42
Bossangoa,12,CF,94,6.5,17.45,69.82,2.93
Havelock,75,US,74,34.88,-76.9,89.6,11.41
Alofi,75,NU,88,-19.06,-169.92,77.0,12.75
College,40,US,58,64.86,-147.8,60.8,3.36
Kavaratti,92,IN,100,10.57,72.64,78.55,13.0
Nanjing,64,CN,82,32.06,118.79,66.2,2.24
Morehead,90,US,94,38.18,-83.43,71.6,5.95
Pavino,0,RU,54,55.02,82.61,57.2,8.95
Dongsheng,100,CN,99,29.72,112.52,64.87,0.47
Muisne,100,EC,78,0.61,-80.02,80.08,6.96
Champerico,75,MX,83,16.38,-93.6,71.6,19.46
Poronaysk,0,RU,91,49.22,143.1,51.64,4.38
Kapaa,75,US,78,22.08,-159.32,78.8,13.87
Salalah,75,OM,89,17.01,54.1,84.2,2.24
Mackay,90,CA,76,53.65,-115.58,55.4,8.05
Tenenkou,48,ML,69,14.46,-4.91,81.16,2.48
Lerwick,68,GB,93,60.15,-1.15,51.8,9.17
Samarai,80,PG,100,-10.62,150.67,78.55,16.8
Mayo,90,CA,71,63.59,-135.9,55.4,4.7
Cockburn Town,0,TC,95,21.46,-71.14,81.34,12.44
Skibbereen,40,IE,93,51.55,-9.27,59.0,5.82
Leningradskiy,76,RU,83,69.38,178.42,36.79,12.66
Rayon,90,FR,88,49.17,2.04,62.6,1.12
Ameca,0,MX,32,20.55,-104.05,88.45,0.47
Naze,68,NG,87,5.43,7.07,77.11,5.73
Vigrestad,0,NO,68,58.57,5.7,66.2,2.24
Ahipara,92,NZ,100,-35.17,173.16,58.39,22.73
Koundara,56,GN,47,12.49,-13.3,90.7,7.07
Evensk,88,RU,100,61.92,159.24,39.04,2.59
Qasigiannguit,75,GL,64,68.82,-51.19,35.6,5.82
Bubaque,0,GW,69,11.28,-15.83,80.6,11.41
Husavik,88,CA,68,50.56,-96.99,59.65,20.49
Tasiilaq,68,GL,86,65.61,-37.64,33.8,9.17
Taltal,0,CL,75,-25.41,-70.49,59.92,1.14
Nome,40,US,55,30.04,-94.42,95.0,10.29
Upernavik,76,GL,100,72.79,-56.15,30.85,8.75
Takestan,0,IR,77,36.07,49.69,56.77,1.7
Hithadhoo,68,MV,100,-0.6,73.08,84.85,15.68
Hobart,75,AU,81,-42.88,147.33,46.4,10.29
Mbigou,76,GA,99,-1.9,11.91,68.92,2.15
Busselton,32,AU,100,-33.64,115.35,53.44,6.06
Ponta Delgada,20,PT,77,37.73,-25.67,64.4,5.82
Severo-Kurilsk,0,RU,96,50.68,156.12,39.22,4.72
Saldanha,24,PT,75,41.42,-6.55,54.16,2.59
Half Moon Bay,1,US,40,37.46,-122.43,80.6,18.34
Karratha,0,AU,85,-20.74,116.85,58.66,2.71
Vikhorevka,20,RU,76,56.12,101.17,48.2,6.71
Trairi,48,BR,100,-3.28,-39.27,81.25,19.04
Puri,24,ID,92,-7.54,112.45,65.14,2.93
Faya,0,SA,60,18.39,42.45,71.6,4.7
Hudson Bay,92,CA,83,52.86,-102.4,49.84,11.1
Sioux City,1,US,24,42.5,-96.41,95.0,21.92
Minden,1,US,19,38.95,-119.77,71.6,5.82
Vao,24,EE,56,59.1,26.19,57.58,6.17
New Norfolk,75,AU,81,-42.78,147.06,46.4,10.29
Pedernales,88,EC,76,0.07,-80.05,80.89,7.96
Esperance,20,TT,74,10.24,-61.45,82.4,8.05
Birao,44,CF,89,10.3,22.78,73.87,2.93
Torbay,90,CA,100,47.66,-52.73,41.0,4.7
Boueni,20,YT,78,-12.9,45.08,78.8,11.41
Angicos,12,BR,52,-5.67,-36.6,84.49,9.42
Mataura,64,NZ,73,-46.19,168.86,17.89,2.59
Govardhan,0,IN,45,27.5,77.46,87.46,9.98
Wuchi,32,NG,78,13.33,5.43,80.98,6.51
Nouakchott,0,MR,92,18.08,-15.98,70.27,16.58
Mahishadal,40,IN,94,22.19,87.98,75.2,4.7
General Pico,44,AR,54,-35.66,-63.75,51.55,5.39
Ovsyanka,0,RU,71,53.58,126.91,64.15,3.38
Burnie,0,AU,100,-41.05,145.91,53.44,3.94
Winnemucca,1,US,19,40.97,-117.74,71.6,3.49
Orlik,80,RU,89,52.51,99.83,29.59,1.92
Itoman,75,JP,69,26.12,127.67,75.2,9.17
Praia,0,BR,52,-20.25,-43.81,69.8,3.15
Bangolo,64,CI,80,7.01,-7.49,79.36,5.73
Kisaran,64,ID,97,2.98,99.62,75.49,2.37
Ust-Kuyga,24,RU,87,70.0,135.55,39.76,6.51
Kodiak,1,US,41,39.95,-94.76,93.2,11.41
Ayame,80,CI,86,5.61,-3.16,79.63,6.96
Saint George,0,GR,48,39.45,22.34,66.2,2.37
Ilulissat,75,GL,64,69.22,-51.1,35.6,5.82
Yenagoa,64,NG,83,4.92,6.26,78.01,5.95
Kumluca,8,TR,88,36.37,30.29,50.29,1.48
Ust-Tsilma,0,RU,75,65.44,52.15,30.85,5.39
Ballitoville,0,ZA,79,-29.54,31.21,57.58,4.38
Dakar,0,SN,88,14.69,-17.45,73.4,2.24
Mitsamiouli,0,KM,100,-11.38,43.28,77.56,8.75
Zhezkazgan,68,KZ,34,47.8,67.71,63.16,14.67
Livramento,20,BR,58,-3.03,-60.18,87.8,8.05
Meulaboh,92,ID,100,4.14,96.13,81.61,3.38
Waingapu,12,ID,91,-9.65,120.26,71.35,6.06
Coruripe,88,BR,100,-10.12,-36.18,77.2,9.53
Rio Rancho,1,US,5,35.27,-106.63,87.8,16.11
Tandag,68,PH,100,9.08,126.2,72.61,2.71
Luderitz,0,NA,90,-26.65,15.16,55.96,8.97
Hammerfest,90,NO,93,70.66,23.68,41.0,18.34
Port Blair,80,IN,100,11.67,92.75,82.87,14.67
Korostyshiv,0,UA,37,50.32,29.06,59.65,8.97
Taoudenni,32,ML,19,22.68,-3.98,90.52,9.08
Koksovyy,0,RU,39,48.2,40.6,49.39,7.4
Souillac,0,FR,77,45.6,-0.6,64.4,4.7
Longyearbyen,75,NO,93,78.22,15.63,35.6,2.24
Khani,90,GE,93,41.96,42.96,64.4,5.82
Tautira,75,PF,66,-17.73,-149.15,84.2,11.41
Nuevitas,75,CU,83,21.55,-77.27,80.6,10.29
Chumikan,8,RU,89,54.72,135.31,50.02,2.04
Nova Olinda do Norte,48,BR,54,-3.89,-59.1,89.08,4.38
Kirillov,68,RU,52,59.86,38.38,58.12,14.67
Port Lincoln,56,AU,100,-34.72,135.86,54.25,11.54
Carnot,48,CF,93,4.94,15.87,71.44,2.71
Calama,0,CL,7,-22.46,-68.93,64.4,19.46
Hailar,12,CN,81,49.2,119.7,54.79,3.15
Umm Lajj,0,SA,72,25.02,37.27,79.18,5.39
Abong Mbang,88,CM,94,3.98,13.18,71.8,1.14
Namatanai,80,PG,100,-3.66,152.44,78.91,9.64
Melita,88,CA,85,49.27,-100.98,68.11,21.61
Veraval,90,FR,93,49.65,0.71,57.2,3.36
Moroceli,75,HN,50,14.13,-86.87,78.8,6.93
Goure,0,NE,28,13.98,10.27,79.54,5.5
Wanning,20,AT,72,48.64,13.53,66.2,2.24
Lamar,1,US,3,38.09,-102.62,102.2,16.11
Mahebourg,75,MU,88,-20.41,57.7,69.8,8.05
Itarema,64,BR,65,-2.92,-39.92,82.51,8.52
Avera,40,US,66,33.19,-82.53,91.4,20.8
Buala,32,SB,92,-8.15,159.59,82.15,5.5
Wakkanai,68,JP,92,45.41,141.67,53.17,27.54
Cherskiy,76,RU,88,68.75,161.3,41.02,4.05
Khatanga,8,RU,93,71.98,102.47,33.64,7.74
Huangnihe,20,CN,65,43.56,128.02,64.87,5.73
Geraldton,20,CA,40,49.72,-86.95,53.6,14.99
Lebu,8,ET,94,8.96,38.73,49.75,3.38
Tagusao,88,PH,100,9.19,117.81,77.29,10.98
Orange Cove,1,US,26,36.62,-119.31,78.8,4.7
Ilhabela,0,BR,91,-23.78,-45.36,74.41,11.99
Bluff,0,AU,86,-23.58,149.07,37.15,4.05
Hermanus,24,ZA,90,-34.42,19.24,48.04,7.18
Sumenep,8,ID,100,-7.02,113.87,80.89,5.95
Hvide Sande,0,DK,51,56.01,8.13,66.2,8.05
Mar del Plata,0,AR,100,-46.43,-67.52,33.73,3.04
Mananjary,0,MG,81,-19.16,46.8,48.22,2.37
Chihuahua,75,MX,10,28.66,-106.08,100.4,8.05
Obo,36,CF,89,5.39,26.49,72.97,2.59
Sarnia,90,CA,87,42.99,-82.38,73.4,9.17
Malaya Serdoba,0,RU,57,52.47,44.96,36.52,6.17
Ziro,64,IN,97,27.54,93.82,60.64,1.59
Albanel,75,CA,53,48.88,-72.44,75.2,11.41
Byron Bay,0,AU,81,-28.65,153.62,48.2,4.7
Puerto del Rosario,20,ES,77,28.5,-13.86,66.2,18.34
Provost,92,CA,100,52.35,-110.26,47.77,10.2
Cortez,1,US,9,37.35,-108.58,80.6,16.11
Kiama,90,AU,58,-34.67,150.86,55.4,19.46
Paris,76,FR,93,48.86,2.35,62.6,2.24
Mae Ramat,92,TH,98,16.98,98.52,72.16,1.92
Gondanglegi,24,ID,92,-7.75,112.01,65.14,2.93
Noumea,0,NC,82,-22.28,166.46,66.2,2.24
Gat,0,SN,51,14.69,-16.54,86.0,6.93
Kurilsk,76,RU,85,45.23,147.88,46.24,12.21
Kaeo,92,NZ,95,-35.1,173.78,57.67,20.04
Mount Gambier,8,AU,80,-37.83,140.78,36.07,2.37
Shar,44,NG,96,7.3,8.73,74.05,4.5
Makkaveyevo,40,RU,55,51.75,113.95,60.8,11.18
Lagos,0,NG,87,6.46,3.39,80.44,7.4
Klyuchi,0,RU,41,52.25,79.17,58.21,14.12
Albany,75,US,65,42.65,-73.75,84.2,11.41
Constitucion,20,MX,9,23.99,-104.67,93.2,3.36
Vaini,92,IN,98,15.34,74.49,74.05,2.04
Rio Gallegos,0,AR,88,-51.62,-69.22,41.0,11.41
Yerbogachen,92,RU,98,61.28,108.01,47.59,6.96
Victoria,75,BN,100,5.28,115.24,77.0,3.36
Cabedelo,0,BR,83,-6.97,-34.84,77.0,4.7
Pemberton,0,AU,81,-34.44,116.03,37.51,6.17
Oistins,40,BB,78,13.07,-59.53,80.6,16.11
Kununurra,0,AU,71,-15.77,128.74,57.2,5.82
Bonavista,68,CA,93,48.65,-53.11,41.74,3.94
Stratford-upon-Avon,0,GB,88,52.19,-1.71,64.4,4.7
Mwinilunga,0,ZM,55,-11.73,24.43,60.37,4.5
Tuatapere,64,NZ,100,-46.13,167.69,34.9,3.49
Sahuaripa,0,MX,11,29.05,-109.23,99.16,2.93
Terrace,90,CA,87,54.52,-128.61,48.2,8.05
Fare,0,PF,100,-16.7,-151.02,79.99,8.52
Arraial do Cabo,0,BR,61,-22.97,-42.02,77.0,4.7
Cidreira,92,BR,95,-30.17,-50.22,67.39,6.62
Srandakan,0,ID,97,-7.94,110.25,62.44,2.37
Kanye,0,BW,57,-24.98,25.34,40.57,2.93
Kefamenanu,44,ID,99,-9.45,124.48,67.75,1.92
Narsaq,92,GL,70,60.91,-46.05,44.6,3.36
Jumla,92,NP,92,29.28,82.18,35.35,1.92
Derzhavinsk,92,KZ,92,51.1,66.31,61.0,16.58
Cap Malheureux,75,MU,88,-19.98,57.61,69.8,8.05
Ancud,0,CL,72,-41.87,-73.83,45.7,5.73
Portland,75,US,42,45.52,-122.67,66.2,5.82
San Patricio,92,PY,98,-26.98,-56.83,55.87,6.17
San Rafael del Sur,40,NI,55,11.85,-86.44,91.4,13.87
Srednekolymsk,80,RU,81,67.46,153.71,33.55,4.05
Arvi,64,IN,95,21.0,78.23,72.61,6.17
Dunedin,12,NZ,87,-45.87,170.5,23.11,4.72
Maraa,64,BR,88,-1.83,-65.37,79.63,3.94
Smithers,90,CA,66,54.78,-127.17,51.8,6.93
Port Hedland,0,AU,100,-20.31,118.58,66.2,4.7
Necochea,92,AR,79,-38.55,-58.74,49.12,9.53
Sisimiut,56,GL,91,66.94,-53.67,31.12,4.05
Yaan,64,NG,89,7.38,8.57,77.2,3.94
Komsomolskiy,80,RU,92,67.55,63.78,28.15,17.81
Churapcha,100,RU,79,62.0,132.43,54.88,6.62
Olinda,90,EC,83,-2.03,-79.75,75.2,11.41
Marzuq,20,YE,68,14.4,46.47,71.35,1.92
Kathmandu,75,NP,93,27.71,85.32,66.2,3.36
Teguldet,24,RU,54,57.31,88.17,60.01,7.63
Sandwick,68,GB,93,54.57,-2.89,60.8,5.82
Borovoy,0,RU,73,63.23,52.89,33.55,9.08
Klaksvik,76,FO,100,62.23,-6.59,46.4,2.24
Vardo,40,US,58,39.62,-77.74,87.8,6.93
Tuensang,48,IN,96,26.24,94.81,66.31,1.7
Watertown,20,US,35,44.9,-97.12,91.4,12.75
Tarakan,80,ID,100,3.3,117.63,79.09,3.49
Medea,75,DZ,100,36.27,2.77,66.2,12.75
Salaga,64,GH,81,8.55,-0.52,80.35,14.23
Katsuura,0,JP,93,33.93,134.5,59.0,3.36
Lukulu,0,ZM,60,-14.38,23.24,58.3,3.71
Bendigo,0,AU,91,-36.76,144.28,35.26,4.05
Vaitape,0,PF,100,-16.52,-151.75,79.99,7.18
Troy,75,US,65,42.73,-73.69,84.2,11.41
George Town,75,MY,88,5.42,100.33,78.8,2.24
Nanakuli,90,US,65,21.39,-158.15,84.2,10.29
Comodoro Rivadavia,0,AR,56,-45.87,-67.48,42.8,4.5
Umm Kaddadah,8,SD,50,13.6,26.69,82.06,9.42
Labuhan,92,ID,95,-2.54,115.51,72.25,2.15
